Battery capacity (mAh),Screen size (inches),Processor,RAM (MB),Internal storage (GB),Rear camera,Front camera,Price euro,Resolution ratio
3969,6.5,6,4000,64.0,12.0,12.0,1373.62224,2.1642512077294684
3110,6.1,6,4000,64.0,12.0,12.0,808.2398400000001,2.1642512077294684
2942,6.1,6,3000,64.0,12.0,7.0,584.6439504,2.1642512077294684
2658,6.5,6,4000,64.0,12.0,7.0,899.4591504,2.1642512077294684
2658,5.8,6,4000,64.0,12.0,7.0,770.9631504,2.1653333333333333
1821,4.7,6,2000,64.0,12.0,7.0,475.42235039999997,1.7786666666666666
2691,5.5,6,3000,64.0,12.0,7.0,603.9312,1.7777777777777777
2716,5.8,6,3000,64.0,12.0,7.0,899.4591504,2.1653333333333333
2900,5.5,4,3000,32.0,12.0,7.0,449.7231504,1.7777777777777777
1960,4.7,4,2000,32.0,12.0,7.0,359.7759504,1.7786666666666666
2750,5.5,1,2000,16.0,12.0,5.0,333.961104,1.7777777777777777
1624,4.0,1,2000,16.0,12.0,1.2,218.43035039999998,1.775
1715,4.7,2,2000,16.0,12.0,5.0,295.5279504,1.7786666666666666
2915,5.5,1,1000,16.0,8.0,1.2,308.3775504,1.7777777777777777
1810,4.7,2,1000,16.0,8.0,1.2,205.5807504,1.7786666666666666
1507,4.0,2,1000,8.0,8.0,1.2,109.2087504,1.775
3046,5.8,6,4000,64.0,12.0,12.0,1245.1262399999998,2.1653333333333333
