Battery capacity (mAh),Screen size (inches),Processor,RAM (MB),Internal storage (GB),Rear camera,Front camera,Price euro,Resolution ratio
4085,6.67,8,12000,256.0,48.0,16.0,758.1007008,2.1666666666666665
4000,6.5,8,6000,64.0,64.0,16.0,359.7759504,2.2222222222222223
4000,6.4,8,6000,128.0,12.0,32.0,642.351504,2.1666666666666665
3800,6.55,8,8000,128.0,48.0,16.0,448.83652800000004,2.2222222222222223
4085,6.67,8,8000,256.0,48.0,16.0,680.900304,2.1666666666666665
4300,6.8,8,12000,256.0,12.0,10.0,1024.1002704,2.111111111111111
6000,6.59,8,8000,128.0,48.0,24.0,488.2719504,2.1666666666666665
4000,6.39,8,6000,128.0,48.0,20.0,297.98222400000003,2.1666666666666665
3765,6.5,8,6000,64.0,16.0,16.0,308.261904,2.1666666666666665
3765,6.53,8,4000,128.0,48.0,16.0,192.7311504,2.1666666666666665
4000,6.39,8,6000,64.0,48.0,20.0,247.7659872,2.1666666666666665
4000,6.67,8,6000,128.0,48.0,16.0,513.919752,2.1666666666666665
4065,6.6,8,6000,128.0,48.0,16.0,475.30670399999997,2.1666666666666665
4045,6.3,8,4000,64.0,16.0,25.0,179.8815504,2.1666666666666665
4200,6.47,8,8000,256.0,40.0,32.0,697.476288,2.1666666666666665
4000,6.3,8,4000,64.0,48.0,13.0,125.9132304,2.1666666666666665
4200,6.39,8,6000,128.0,40.0,24.0,822.245904,2.1666666666666665
3300,6.4,8,6000,128.0,12.0,8.0,385.4751504,2.1666666666666665
3700,6.41,8,6000,128.0,16.0,16.0,411.1743504,2.1666666666666665
3430,6.3,8,4000,64.0,12.2,8.0,616.652304,2.0555555555555554
2915,5.5,8,4000,64.0,12.2,8.0,488.2719504,2.0
4000,6.0,8,8000,128.0,12.0,8.0,899.4591504,2.0
4000,6.4,8,6000,128.0,12.0,8.0,732.4143504,2.0555555555555554
3000,6.1,8,6000,128.0,16.0,8.0,488.2719504,2.1666666666666665
5000,5.99,8,3000,32.0,13.0,8.0,128.367504,2.0
4000,6.1,8,4000,64.0,40.0,24.0,642.351504,2.074074074074074
3300,6.28,8,6000,64.0,16.0,16.0,449.7231504,2.111111111111111
3300,6.2,8,4000,64.0,12.0,8.0,244.1295504,2.0796296296296295
4000,5.99,8,4000,64.0,12.0,20.0,120.1309104,2.0
3800,6.0,8,4000,64.0,12.0,16.0,154.1952,2.0
3500,6.2,8,6000,64.0,12.0,8.0,385.4751504,2.0555555555555554
3000,5.8,8,4000,64.0,12.0,8.0,346.9263504,2.0555555555555554
3930,6.0,8,6000,128.0,12.0,8.0,680.900304,1.7777777777777777
3300,6.3,8,6000,64.0,12.0,8.0,642.4671504,2.0555555555555554
2730,5.5,8,6000,64.0,12.0,5.0,269.8287504,1.7777777777777777
3000,5.5,8,6000,128.0,12.0,16.0,693.749904,1.7777777777777777
3090,5.3,8,4000,64.0,13.0,13.0,192.6669024,1.7777777777777777
3500,6.2,8,4000,64.0,12.0,8.0,385.488,2.0555555555555554
3000,5.8,8,4000,64.0,12.0,8.0,346.86210239999997,2.0555555555555554
3300,5.7,1,3000,32.0,13.0,5.0,308.261904,2.0
3400,5.5,4,6000,64.0,16.0,16.0,256.9791504,1.7777777777777777
4000,6.0,8,6000,64.0,16.0,16.0,218.43035039999998,1.7777777777777777
3450,5.5,4,4000,32.0,12.3,8.0,398.20910399999997,1.7777777777777777
3000,5.2,8,4000,32.0,12.0,8.0,260.1530016,1.7777777777777777
3000,5.5,4,6000,64.0,16.0,8.0,295.5279504,1.7777777777777777
3000,5.7,4,6000,256.0,23.0,8.0,578.2191504000001,1.7777777777777777
3000,5.15,4,3000,32.0,16.0,4.0,321.22715039999997,1.7777777777777777
3600,5.5,8,4000,32.0,12.0,5.0,513.9326016,1.7777777777777777
3000,5.1,8,4000,32.0,12.0,5.0,308.3775504,1.7777777777777777
3760,5.4,8,3000,32.0,21.0,5.0,89.8701024,1.7777777777777777
3450,5.7,8,3000,32.0,12.3,8.0,552.5071008,1.7777777777777777
